time,market,target_price,buy_amount,buy_units,buy_type,buy_uuid,filled
2025-11-26 16:08:31.413399,GGLL,112.18,120,1,initial,440,done
2025-11-26 16:09:05.232703,GGLL,97.12,240,2,small_flow,1522,wait
2025-11-26 16:09:05.232703,GGLL,97.65,840,7,large_flow,997,wait
2025-11-26 23:01:47.603359,MSFL,27.94,100,1,initial,3175,done
2025-11-26 23:01:54.272016,MSFL,25.84,200,2,small_flow,1023,wait
2025-11-26 23:01:54.272016,MSFL,24.31,700,7,large_flow,1024,wait
2025-12-05 14:44:24.548551,YINN,46.38,150,1,initial,310,done
2025-12-05 14:45:06.242626,YINN,41.83,300,2,small_flow,1025,wait
2025-12-05 14:45:06.242626,YINN,40.32,1050,7,large_flow,1027,wait
2025-12-05 23:31:55.213927,TQQQ,56.4,70,1,initial,3754,done
2025-12-05 23:32:03.868144,TQQQ,51.97,140,2,small_flow,5854,wait
2025-12-05 23:32:03.868144,TQQQ,49.07,490,7,large_flow,999,wait
2025-12-06 00:39:12.551094,SHNY,130.0,280,1,initial,4997,done
2025-12-06 00:39:51.657329,SHNY,121.43,560,2,small_flow,5461,wait
2025-12-06 00:39:51.657329,SHNY,112.39,1960,7,large_flow,2187,wait
2025-12-09 01:27:57.859948,FNGU,29.64,100,1,initial,6123,done
2025-12-09 01:29:24.389852,FNGU,27.36,200,2,small_flow,5905,wait
2025-12-09 01:29:24.389852,FNGU,25.83,700,7,large_flow,1147,wait
2025-12-09 03:10:00.401177,NVDL,90.11,105,1,initial,6514,done
2025-12-09 03:10:09.601850,NVDL,77.99,210,2,small_flow,5496,wait
2025-12-09 03:10:09.601850,NVDL,78.42,735,7,large_flow,1001,wait
2025-12-10 03:02:55.019099,TSLL,20.29,40,1,initial,6289,done
2025-12-10 03:03:39.417278,TSLL,18.42,80,2,small_flow,1002,wait
2025-12-10 03:03:39.417278,TSLL,17.66,280,7,large_flow,1003,wait
